edicion lolla;artista;minuto;pantalla principal;juego de luces;vestimenta;baile;instrumental en vivo;interaccion publico;escenografia;link presentacion
2011;The Killers;0;vacia;Estáticas;formal;Sin baile;Sí;No;Sí;https://youtu.be/X7MNEzCA3M4?si=MsjtA6l0OeTPlvD7
2011;The Killers;1;streaming;Estáticas;formal;Sin baile;Sí;No;Sí;https://youtu.be/X7MNEzCA3M4?si=5SC5igZt1i9N8oj_
2011;The Killers;2;streaming;Intermitentes;formal;Sin baile;Sí;No;No;https://youtu.be/FPNwqLGlTmA?si=frK5RZhUU9ufq-pj
2011;The Killers;4;vacia;Intermitentes;formal;Sin baile;Sí;No;Sí;https://youtu.be/FPNwqLGlTmA?si=frK5RZhUU9ufq-pj
2011;The Killers;8;streaming;Intermitentes;formal;Sin baile;Sí;No;Sí;https://youtu.be/FPNwqLGlTmA?si=frK5RZhUU9ufq-pj
2011;The Killers;2;streaming;Intermitentes;formal;Sin baile;Sí;No;Sí;https://youtu.be/SY983dBD-mU?si=7BmqSQVtb9PBlzX-
2011;The Killers;4;streaming;Estáticas;formal;Sin baile;Sí;No;Sí;https://youtu.be/SY983dBD-mU?si=7BmqSQVtb9PBlzX-
2011;Jane's Addiction;0;NA;NA;NA;NA;NA;NA;NA;NA
2011;Kanye West;1;vacia;Estáticas;casual;Expresión corporal;No;No;No;https://youtu.be/Hc1FxZ8H2AA?si=mNfVgREXoGFMvYpr
2011;Kanye West;2;vacia;Estáticas;casual;Sin baile;No;Sí;No;https://youtu.be/Hc1FxZ8H2AA?si=mNfVgREXoGFMvYpr
2011;Kanye West;5;vacia;Apagadas;casual;Sin baile;No;No;No;https://youtu.be/Hc1FxZ8H2AA?si=mNfVgREXoGFMvYpr
2011;Kanye West;5;vacia;Estáticas;casual;Sin baile;No;Sí;No;https://youtu.be/Hc1FxZ8H2AA?si=mNfVgREXoGFMvYpr
2011;Kanye West;7;vacia;Intermitentes;casual;Sin baile;No;Sí;No;https://youtu.be/Hc1FxZ8H2AA?si=mNfVgREXoGFMvYpr
2011;Kanye West;9;vacia;Intermitentes;casual;Sin baile;No;Sí;No;https://youtu.be/Hc1FxZ8H2AA?si=mNfVgREXoGFMvYpr
2011;Kanye West;0;vacia;Estáticas;casual;Sin baile;No;Sí;No;https://youtu.be/JmPfZxq6LLg?si=pbgWV-xL97qdmTdW
2011;Kanye West;1;vacia;Estáticas;casual;Expresión corporal;No;No ;No;https://youtu.be/JmPfZxq6LLg?si=pbgWV-xL97qdmTdW
2011;Kanye West;2;vacia;Estáticas;casual;Expresión corporal;No;Sí;No;https://youtu.be/JmPfZxq6LLg?si=pbgWV-xL97qdmTdW
2012;Björk ;0;visuales;Apagadas;vacia;Sin baile;No;No;No;https://youtu.be/Mj_6Go7EKIA?si=cKLk6Dx2lSsPcuZ1
2012;Björk ;0;visuales;Estáticas;casual;Sin baile;Sí;No;Sí;https://youtu.be/Mj_6Go7EKIA?si=cKLk6Dx2lSsPcuZ2
2012;Björk ;5;visuales;Intermitentes;casual;Expresión corporal;Sí;No;Sí;https://youtu.be/Mj_6Go7EKIA?si=cKLk6Dx2lSsPcuZ3
2012;Björk ;31;vacia;Intermitentes;casual;Expresión corporal;Sí;No;Sí;https://youtu.be/Mj_6Go7EKIA?si=cKLk6Dx2lSsPcuZ4
2012;Björk ;35;visuales;Estáticas;casual;Expresión corporal;Sí;Sí;Sí;https://youtu.be/Mj_6Go7EKIA?si=cKLk6Dx2lSsPcuZ5
